96.000000	19.000000
96.000000	19.000000
96.000000	19.000000
96.000000	19.000000
96.000000	19.000000
96.000000	19.000000
97.000000	19.000000
98.000000	19.000000
99.000000	20.000000
113.000000	28.000000
123.000000	34.000000
132.000000	42.000000
139.000000	52.000000
142.000000	60.000000
141.000000	76.000000
137.000000	84.000000
132.000000	90.000000
123.000000	94.000000
116.000000	98.000000
94.000000	99.000000
85.000000	95.000000
78.000000	89.000000
74.000000	83.000000
71.000000	75.000000
71.000000	59.000000
73.000000	51.000000
76.000000	43.000000
81.000000	37.000000
86.000000	31.000000
99.000000	25.000000
104.000000	23.000000
106.000000	23.000000
106.000000	24.000000
103.000000	25.000000
85.000000	21.000000
77.000000	21.000000
73.000000	21.000000
